"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-02","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7240.5","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7225.2","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2388.1","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2390.5","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2349.4","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2336.0","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","55 years and over","Persons in thousands","428","thousands","3","v2091288","1.3.2.7","2335.4","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10342.7","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10311.8","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10203.6","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10239.0","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","15 to 64 years","Persons in thousands","428","thousands","3","v2091289","1.3.2.8","10215.5","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","387.7","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","398.7","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","384.8","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","377.6","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","15 to 19 years","Persons in thousands","428","thousands","3","v2091290","1.3.2.9","377.8","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","20 to 24 years","Persons in thousands","428","thousands","3","v2091291","1.3.2.10","938.2","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","20 to 24 years","Persons in thousands","428","thousands","3","v2091291","1.3.2.10","933.5","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","20 to 24 years","Persons in thousands","428","thousands","3","v2091291","1.3.2.10","915.0","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","20 to 24 years","Persons in thousands","428","thousands","3","v2091291","1.3.2.10","940.7","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","20 to 24 years","Persons in thousands","428","thousands","3","v2091291","1.3.2.10","930.4","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","25 to 29 years","Persons in thousands","428","thousands","3","v2091292","1.3.2.11","1246.0","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","25 to 29 years","Persons in thousands","428","thousands","3","v2091292","1.3.2.11","1251.2","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","25 to 29 years","Persons in thousands","428","thousands","3","v2091292","1.3.2.11","1223.1","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","25 to 29 years","Persons in thousands","428","thousands","3","v2091292","1.3.2.11","1229.7","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","25 to 29 years","Persons in thousands","428","thousands","3","v2091292","1.3.2.11","1215.2","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","30 to 34 years","Persons in thousands","428","thousands","3","v2091293","1.3.2.12","1386.1","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","30 to 34 years","Persons in thousands","428","thousands","3","v2091293","1.3.2.12","1376.9","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","30 to 34 years","Persons in thousands","428","thousands","3","v2091293","1.3.2.12","1370.1","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","30 to 34 years","Persons in thousands","428","thousands","3","v2091293","1.3.2.12","1382.7","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","30 to 34 years","Persons in thousands","428","thousands","3","v2091293","1.3.2.12","1381.7","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","35 to 39 years","Persons in thousands","428","thousands","3","v2091294","1.3.2.13","1301.1","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","35 to 39 years","Persons in thousands","428","thousands","3","v2091294","1.3.2.13","1324.2","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","35 to 39 years","Persons in thousands","428","thousands","3","v2091294","1.3.2.13","1292.3","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","35 to 39 years","Persons in thousands","428","thousands","3","v2091294","1.3.2.13","1280.4","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","35 to 39 years","Persons in thousands","428","thousands","3","v2091294","1.3.2.13","1286.7","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","40 to 44 years","Persons in thousands","428","thousands","3","v2091295","1.3.2.14","1221.1","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","40 to 44 years","Persons in thousands","428","thousands","3","v2091295","1.3.2.14","1202.7","","","","1"
